date,month,account_code,account_name,category,dashboard_group,is_pl,description,invoice_number,debit,credit,net_amount,journal_code,journal_name,vat_pct,year_file
2023-08-25,2023-08,1600,Crediteuren,,,False,HOTEL UNIZO HAKATAEKI Tokyo,16536,0.0,128.97,-128.97,1600,Crediteuren,0,0
2023-08-25,2023-08,4406,Reis- en verblijfkosten,SG&A – Travel & Entertainment,SG&A,True,HOTEL UNIZO HAKATAEKI Tokyo,16536,128.97,0.0,128.97,1600,Crediteuren,0,0
2023-10-10,2023-10,1600,Crediteuren,,,False,Benvalor B.V.,20231593,0.0,762.3,-762.3,1600,Crediteuren,0,0
2023-10-10,2023-10,1680,Btw te vorderen hoog (inkopen),,,False,Benvalor B.V.,20231593,132.3,0.0,132.3,1600,Crediteuren,21,0
2023-10-10,2023-10,4703,Advocaat en juridisch advies,SG&A – Professional Services,SG&A,True,Benvalor B.V.,20231593,630.0,0.0,630.0,1600,Crediteuren,21,0
2023-10-22,2023-10,1600,Crediteuren,,,False,Kateryna Nikitina,91976693,0.0,242.0,-242.0,1600,Crediteuren,0,0
2023-10-22,2023-10,1680,Btw te vorderen hoog (inkopen),,,False,Kateryna Nikitina,91976693,42.0,0.0,42.0,1600,Crediteuren,21,0
2023-10-22,2023-10,4704,Overige advieskosten,SG&A – Professional Services,SG&A,True,Kateryna Nikitina,91976693,200.0,0.0,200.0,1600,Crediteuren,21,0
2023-11-03,2023-11,1600,Crediteuren,,,False,Benvalor B.V.,20231721,0.0,1388.48,-1388.48,1600,Crediteuren,0,0
2023-11-03,2023-11,1680,Btw te vorderen hoog (inkopen),,,False,Benvalor B.V.,20231721,240.98,0.0,240.98,1600,Crediteuren,21,0
2023-11-03,2023-11,4703,Advocaat en juridisch advies,SG&A – Professional Services,SG&A,True,Benvalor B.V.,20231721,1147.5,0.0,1147.5,1600,Crediteuren,21,0
2023-11-14,2023-11,1600,Crediteuren,,,False,Asana,A01408347,0.0,40.47,-40.47,1600,Crediteuren,0,0
2023-11-14,2023-11,1680,Btw te vorderen hoog (inkopen),,,False,Asana,A01408347,7.02,0.0,7.02,1600,Crediteuren,21,0
2023-11-14,2023-11,4606,Contributies en abonnementen,SG&A – Subscriptions,SG&A,True,Asana,A01408347,33.45,0.0,33.45,1600,Crediteuren,21,0
2023-11-15,2023-11,1600,Crediteuren,,,False,Kamer van Koophandel ,1072,0.0,75.0,-75.0,1600,Crediteuren,0,0
2023-11-15,2023-11,4798,Algemene kosten,SG&A – Other,SG&A,True,Kamer van Koophandel ,1072,75.0,0.0,75.0,1600,Crediteuren,0,0
2023-12-14,2023-12,1600,Crediteuren,,,False,de Sleutelkluis,BON_20231214_9849,0.0,42.0,-42.0,1600,Crediteuren,0,0
2023-12-14,2023-12,1600,Crediteuren,,,False,Asana,INVEU10290644,0.0,40.47,-40.47,1600,Crediteuren,0,0
2023-12-14,2023-12,1680,Btw te vorderen hoog (inkopen),,,False,de Sleutelkluis,BON_20231214_9849,7.29,0.0,7.29,1600,Crediteuren,21,0
2023-12-14,2023-12,1680,Btw te vorderen hoog (inkopen),,,False,Asana,INVEU10290644,7.02,0.0,7.02,1600,Crediteuren,21,0
