month,billing_country,orders,gross_sales,discounts,returns,net_sales,shipping_charges,taxes,total_sales
2024-07,Netherlands,4,149.0,0.0,-1.0,148.0,9.9,0.0,157.9
2024-07,United Kingdom,1,37.0,-37.0,0.0,0.0,0.0,0.0,0.0
2024-08,Belgium,1,74.0,0.0,0.0,74.0,9.95,0.0,83.95
2024-08,United States,2,222.0,-18.5,0.0,203.5,39.9,0.0,243.4
2024-08,Netherlands,4,222.0,0.0,0.0,222.0,14.85,0.0,236.85
2024-09,Austria,1,37.0,0.0,0.0,37.0,9.95,0.0,46.95
2024-09,Netherlands,4,185.0,0.0,0.0,185.0,14.85,0.0,199.85
2024-09,Germany,16,747.5,0.0,0.0,747.5,159.2,0.0,906.7
2024-09,United States,3,117.5,0.0,0.0,117.5,59.85,0.0,177.35
2024-10,Spain,1,37.0,0.0,0.0,37.0,9.95,0.0,46.95
2024-10,Portugal,2,185.0,-111.0,0.0,74.0,9.95,0.0,83.95
2024-10,United States,3,132.0,0.0,-101.5,30.5,39.9,0.0,70.4
2024-10,Belgium,1,37.0,0.0,0.0,37.0,9.95,0.0,46.95
2024-10,Netherlands,5,222.0,0.0,0.0,222.0,19.8,0.0,241.8
2024-11,Netherlands,14,740.0,-9.25,0.0,730.75,24.75,0.0,755.5
2024-11,Belgium,1,53.5,0.0,0.0,53.5,9.95,0.0,63.45
2024-11,France,2,92.5,0.0,0.0,92.5,19.9,0.0,112.4
2024-11,Singapore,1,37.0,0.0,0.0,37.0,4.95,0.0,41.95
2024-11,Germany,5,201.5,-27.75,0.0,173.75,39.8,0.0,213.55
2024-11,Spain,1,27.75,0.0,-27.75,0.0,0.0,0.0,0.0
2024-11,Slovenia,1,37.0,0.0,0.0,37.0,9.95,0.0,46.95
2024-12,United Kingdom,1,37.0,0.0,0.0,37.0,19.95,0.0,56.95
2024-12,Netherlands,7,629.0,0.0,-43.95,585.05,19.8,0.0,604.85
2024-12,Germany,3,148.0,0.0,0.0,148.0,29.85,0.0,177.85
2025-01,Netherlands,2,121.0,0.0,-79.0,42.0,4.95,0.0,46.95
2025-01,United States,1,37.0,0.0,0.0,37.0,19.95,0.0,56.95
2025-01,Germany,4,205.0,-42.0,0.0,163.0,29.85,0.0,192.85
2025-02,Germany,1,37.0,0.0,0.0,37.0,9.95,0.0,46.95
2025-02,Netherlands,3,153.0,0.0,0.0,153.0,9.9,0.0,162.9
2025-02,Slovakia,1,37.0,0.0,0.0,37.0,9.95,0.0,46.95
2025-02,Belgium,1,79.0,0.0,0.0,79.0,9.95,0.0,88.95
2025-03,Belgium,1,79.0,0.0,0.0,79.0,9.95,0.0,88.95
2025-03,Germany,1,37.0,0.0,0.0,37.0,9.95,0.0,46.95
2025-03,Netherlands,10,469.0,0.0,0.0,469.0,39.6,0.0,508.6
2025-04,Netherlands,3,153.0,0.0,0.0,153.0,9.9,0.0,162.9
2025-04,Germany,1,74.0,0.0,0.0,74.0,9.95,0.0,83.95
2025-05,Spain,1,74.0,0.0,0.0,74.0,9.95,0.0,83.95
2025-05,Germany,2,84.0,0.0,0.0,84.0,19.9,0.0,103.9
2025-05,Canada,1,79.0,-79.0,0.0,0.0,0.0,0.0,0.0
2025-05,Belgium,1,79.0,0.0,0.0,79.0,9.95,0.0,88.95
2025-05,Netherlands,4,195.0,0.0,0.0,195.0,14.85,0.0,209.85
2025-06,Germany,3,126.0,0.0,-42.0,84.0,19.9,0.0,103.9
2025-06,Luxembourg,1,42.0,0.0,0.0,42.0,9.95,0.0,51.95
2025-06,Spain,0,0.0,0.0,-74.0,-74.0,0.0,0.0,-74.0
2025-06,Netherlands,1,42.0,0.0,0.0,42.0,4.95,0.0,46.95
2025-06,Austria,1,84.0,0.0,0.0,84.0,9.95,0.0,93.95
2025-06,Australia,1,42.0,0.0,0.0,42.0,19.95,0.0,61.95
2025-07,Netherlands,4,210.0,0.0,0.0,210.0,14.85,0.0,224.85
2025-07,Germany,1,42.0,0.0,0.0,42.0,9.95,0.0,51.95
2025-07,United States,1,42.0,0.0,0.0,42.0,19.95,0.0,61.95
2025-08,Netherlands,7,368.0,-42.0,0.0,326.0,24.75,0.0,350.75
2025-08,Austria,1,42.0,0.0,0.0,42.0,9.95,0.0,51.95
2025-08,Portugal,1,42.0,0.0,0.0,42.0,9.95,0.0,51.95
2025-08,Germany,3,121.0,0.0,0.0,121.0,39.85,0.0,160.85
2025-08,Belgium,1,42.0,0.0,0.0,42.0,9.95,0.0,51.95
2025-09,Portugal,1,51.0,0.0,0.0,51.0,9.95,0.0,60.95
2025-09,United States,2,116.0,0.0,0.0,116.0,39.9,0.0,155.9
2025-09,Netherlands,7,380.0,0.0,0.0,380.0,24.75,0.0,404.75
2025-09,Germany,5,195.0,0.0,0.0,195.0,49.75,0.0,244.75
2025-09,Italy,2,116.0,0.0,0.0,116.0,19.9,0.0,135.9
2025-09,Belgium,1,42.0,0.0,0.0,42.0,9.95,0.0,51.95
2025-10,Netherlands,11,683.0,0.0,0.0,683.0,19.8,0.0,702.8
2025-10,United States,0,0.0,0.0,-116.0,-116.0,-39.9,0.0,-155.9
2025-10,United Kingdom,1,37.0,0.0,0.0,37.0,19.95,0.0,56.95
2025-11,France,1,37.0,0.0,0.0,37.0,9.95,0.0,46.95
2025-11,Netherlands,6,405.0,-21.0,-148.0,236.0,9.9,0.0,245.9
2025-11,Italy,1,210.0,0.0,0.0,210.0,9.95,0.0,219.95
2025-11,Germany,2,88.0,0.0,0.0,88.0,19.9,0.0,107.9
2025-11,Bulgaria,1,156.0,0.0,0.0,156.0,19.95,0.0,175.95
2025-11,Saudi Arabia,1,259.0,0.0,0.0,259.0,19.95,0.0,278.95
2025-11,Belgium,1,42.0,0.0,0.0,42.0,9.95,0.0,51.95
2025-11,United States,1,168.0,-84.0,0.0,84.0,19.95,0.0,103.95
2025-11,United Kingdom,1,147.0,-36.75,0.0,110.25,19.95,0.0,130.2
2025-11,Czech Republic,1,42.0,-10.5,0.0,31.5,4.95,0.0,36.45
2025-12,Saudi Arabia,0,0.0,0.0,-148.0,-148.0,0.0,0.0,-148.0
2025-12,Austria,1,42.0,-10.5,0.0,31.5,9.95,0.0,41.45
2025-12,Spain,1,84.0,0.0,0.0,84.0,19.95,0.0,103.95
2025-12,Netherlands,7,422.0,-188.0,-42.0,192.0,4.95,0.0,196.95
2025-12,Lithuania,1,42.0,-10.5,0.0,31.5,9.95,0.0,41.45
2025-12,Germany,7,350.0,-29.0,0.0,321.0,69.65,0.0,390.65
2026-01,Netherlands,9,545.65,0.0,0.0,545.65,23.52,18.58,587.75
2026-01,Belgium,1,57.85,0.0,0.0,57.85,8.22,13.88,79.95
2026-01,Poland,1,42.0,0.0,0.0,42.0,9.95,0.0,51.95
2026-01,Brazil,1,38.53,0.0,0.0,38.53,18.3,5.12,61.95
2026-01,Bulgaria,1,12.0,0.0,0.0,12.0,4.95,0.0,16.95
2026-01,United States,1,42.0,0.0,0.0,42.0,19.95,0.0,61.95
2026-01,Portugal,1,61.0,0.0,0.0,61.0,9.95,0.0,70.95
2026-02,Croatia,1,106.3,0.0,0.0,106.3,0.0,17.7,124.0
2026-02,Spain,1,38.53,0.0,0.0,38.53,9.13,4.29,51.95
2026-02,Italy,1,84.0,-84.0,0.0,0.0,9.13,0.82,9.95
2026-02,United States,1,124.0,0.0,0.0,124.0,19.95,0.0,143.95
2026-02,Netherlands,7,402.66,0.0,0.0,402.66,13.62,39.57,455.85
2026-02,Germany,1,38.53,0.0,0.0,38.53,9.13,4.29,51.95
2026-03,Netherlands,8,554.63,0.0,0.0,554.63,13.17,58.05,625.85
2026-03,Cyprus,1,77.06,0.0,0.0,77.06,9.13,7.76,93.95
2026-03,United Kingdom,2,346.0,0.0,0.0,346.0,39.9,0.0,385.9
2026-03,France,1,45.97,0.0,0.0,45.97,17.98,7.0,70.95
2026-03,Belgium,1,38.53,0.0,0.0,38.53,9.13,4.29,51.95
2026-03,United States,1,42.0,0.0,0.0,42.0,19.95,0.0,61.95
2026-03,Germany,1,376.85,0.0,0.0,376.85,8.95,43.15,428.95
2026-04,United States,1,38.53,0.0,0.0,38.53,4.54,3.88,46.95
2026-04,Netherlands,5,231.18,0.0,0.0,231.18,18.16,22.46,271.8
2026-04,Germany,4,225.71,0.0,0.0,225.71,36.08,28.01,289.8
2026-04,Austria,1,38.53,0.0,0.0,38.53,9.13,4.29,51.95
2026-04,Belgium,1,45.97,0.0,0.0,45.97,8.97,6.01,60.95
2026-04,United Kingdom,1,42.0,0.0,0.0,42.0,19.95,0.0,61.95
2026-04,Romania,1,38.53,0.0,0.0,38.53,9.13,4.29,51.95
2026-04,Poland,1,77.06,0.0,0.0,77.06,9.13,7.76,93.95
2026-04,Denmark,2,192.65,0.0,0.0,192.65,13.67,18.58,224.9
2026-04,Spain,1,38.53,0.0,0.0,38.53,9.13,4.29,51.95
2026-05,Spain,1,115.6,0.0,0.0,115.6,9.13,11.22,135.95
2026-05,France,1,77.06,0.0,0.0,77.06,9.13,7.76,93.95
2026-05,Portugal,1,38.53,0.0,0.0,38.53,9.13,4.29,51.95
2026-05,Japan,1,42.0,0.0,0.0,42.0,19.95,0.0,61.95
2026-05,Germany,5,269.71,0.0,0.0,269.71,45.65,28.39,343.75
2026-05,Netherlands,8,431.27,0.0,0.0,431.27,18.16,41.37,490.8
