date,order_number,amount_eur,payment_method,month,entity,source_file
2024-04-04 14:37:29,3338845735956256677,4.5,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-04 14:38:27,3338846221228840911,4.1,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-05 10:14:35,3339438187587048771,4.3,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-05 10:26:39,3339444258171000265,4.3,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-05 12:28:37,3339505648051164817,5.9,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-05 13:45:29,3339544336210596900,4.3,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-05 14:01:55,3339552610775471109,9.6,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-05 14:09:51,3339556599676016154,10.6,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-05 14:30:17,3339566881332795108,12.1,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-05 14:31:35,3339567539150657343,9.0,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-05 14:32:00,3339567746089228127,5.1,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-05 14:44:47,3339574183641224949,11.0,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-05 14:45:36,3339574590715205426,5.5,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-05 14:50:02,3339576829735343150,4.9,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-05 15:02:23,3339583039922509617,5.7,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 07:43:46,3340087051121857616,16.4,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 07:46:13,3340088288726750320,12.7,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 07:49:08,3340089752278799482,4.5,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 07:54:21,3340092385194415260,9.4,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 07:55:05,3340092752791606431,8.4,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 07:59:03,3340094745589322934,8.6,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 08:00:22,3340095411997119690,5.5,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 08:09:33,3340100029640611070,5.5,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 08:18:41,3340104625196897647,20.2,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 08:19:58,3340105272017294718,9.6,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 08:28:45,3340109692654327266,5.5,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 08:39:55,3340115317257934463,4.5,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 08:41:16,3340115995174901384,15.5,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 08:51:48,3340121298478045000,15.1,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 08:59:36,3340125218877216764,5.7,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 09:00:32,3340125690031772687,11.0,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 09:09:46,3340130337932973318,11.4,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 09:15:46,3340133357949294022,10.2,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 09:17:49,3340134391031535126,5.3,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 09:31:03,3340141052290929733,14.9,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 09:39:29,3340145299896145264,15.3,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 09:41:18,3340146208105567661,10.8,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 09:42:19,3340146725011592668,9.6,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 09:49:47,3340150480146798367,5.1,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 09:51:09,3340151172165015401,10.6,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 09:53:25,3340152313359636441,5.5,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 09:55:36,3340153405531231286,20.6,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 09:57:34,3340154401426773124,10.2,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 10:00:02,3340155639023277299,19.6,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 10:05:20,3340158304352474635,11.0,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 10:07:04,3340159183302432371,9.8,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 10:08:00,3340159645925775064,4.3,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 10:08:55,3340160109102765812,8.8,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 10:09:35,3340160449285986089,5.7,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 10:12:26,3340161879585593296,4.3,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 10:21:28,3340166426890606255,5.5,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 10:22:45,3340167073367070491,5.7,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 10:24:55,3340168165890987946,5.7,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 10:25:58,3340168695472199666,10.6,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 10:27:22,3340169393203057767,5.7,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 10:28:08,3340169782216365213,5.7,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 10:29:49,3340170626915636541,13.5,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 10:31:12,3340171325971895706,5.7,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 10:32:54,3340172185602889248,5.7,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 10:40:05,3340175798576354388,5.7,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 10:43:18,3340177419590964514,5.7,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 10:54:12,3340182903718942023,18.4,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 11:00:02,3340185837307434792,23.9,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 11:01:09,3340186400703125418,11.4,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 11:03:32,3340187597388387469,8.4,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 11:05:06,3340188384650859814,10.2,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 11:05:54,3340188794979620231,11.0,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 11:07:08,3340189415350736432,5.7,card,2024-04,Lera World,lera_completed_orders.xlsx
2024-04-06 11:14:46,3340193256678888787,10.4,card,2024-04,Lera World,lera_completed_orders.xlsx
