year_month,kiosk_orders,kiosk_revenue_eur,kiosk_avg_ticket_eur,cost_cogs,cost_labor,cost_matcha_company,cost_occupancy,cost_sg&a,gross_profit_eur,labor_pct_of_revenue
2023-08,,,,0.0,0.0,0.0,0.0,128.97,0.0,
2023-10,,,,0.0,0.0,0.0,0.0,830.0,0.0,
2023-11,,,,0.0,0.0,0.0,0.0,1255.95,0.0,
2023-12,,,,1950.0,0.0,0.0,4368.04,3296.21,-1950.0,
2024-01,,,,1568.37,3344.0,6483.78,5316.35,16100.73,-1568.37,
2024-02,,,,5177.26,4151.34,1900.0,5318.71,3612.02,-5177.26,
2024-03,,,,5992.4,0.0,0.0,7177.59,6510.53,-5992.4,
2024-04,3827.0,35627.1,9.31,18685.56,200.0,1257.4,6714.48,6243.96,16941.54,0.6
2024-05,4644.0,44276.15,9.53,16742.26,5700.0,5726.11,5728.09,5296.07,27533.89,12.9
2024-06,4185.0,39721.1,9.49,12826.94,7309.89,9961.63,5295.4,7531.6,26894.16,18.4
2024-07,3698.0,34570.36,9.35,6993.36,7268.06,5685.73,5221.52,7636.62,27577.0,21.0
2024-08,3276.0,30465.95,9.3,10747.75,8519.8,2936.83,5087.31,8127.58,19718.2,28.0
2024-09,3937.0,33407.35,8.49,13142.67,7102.49,5450.59,5398.61,8331.6,20264.68,21.3
2024-10,3882.0,35520.7,9.15,12649.71,12289.92,8292.83,5531.13,15244.97,22870.99,34.6
2024-11,3756.0,35227.43,9.38,8529.55,8385.49,6163.16,5395.9,6631.49,26697.88,23.8
2024-12,3366.0,29762.98,8.84,-929.32,8334.2,19869.6,14162.09,28453.97,30692.3,28.0
2025-01,3154.0,30094.19,9.54,13348.11,8660.68,8790.17,6900.91,10037.13,16746.08,28.8
2025-02,3664.0,34174.1,9.33,8813.07,7290.62,9557.64,5145.83,4229.04,25361.03,21.3
2025-03,4322.0,40677.82,9.41,8946.9,20664.0,1253.12,7247.55,11301.18,31730.92,50.8
2025-04,4861.0,47619.93,9.8,16424.85,11462.11,11997.55,8048.15,10365.18,31195.08,24.1
2025-05,5086.0,48783.48,9.59,15468.73,8798.92,11527.79,8098.48,10954.29,33314.75,18.0
2025-06,5099.0,48029.75,9.42,15112.72,10749.92,14336.02,6066.04,12284.05,32917.03,22.4
2025-07,4992.0,48926.55,9.8,10287.86,16424.21,13513.68,7470.79,11196.58,38638.69,33.6
2025-08,5325.0,53389.2,10.03,10812.98,6687.33,7270.0,6058.7,13232.94,42576.22,12.5
2025-09,4828.0,45608.46,9.45,11230.41,14019.2,6239.66,7082.31,21744.94,34378.05,30.7
2025-10,4888.0,44824.8,9.17,9341.35,9109.53,7038.05,6002.17,16116.32,35483.45,20.3
2025-11,4415.0,41769.9,9.46,12447.86,18363.09,1206.56,6698.48,7881.72,29322.04,44.0
2025-12,3329.0,33129.75,9.95,10338.12,12816.6,11629.29,6201.92,5599.86,22791.63,38.7
2026-01,3559.0,34060.5,9.57,8547.77,16597.87,-648.72,5773.67,9370.4,25512.73,48.7
2026-02,3889.0,37786.4,9.72,9745.49,9102.15,11601.12,5473.11,4243.73,28040.91,24.1
2026-03,5053.0,50034.87,9.9,8946.08,11083.5,4050.88,10689.09,6963.58,41088.79,22.2
2026-04,,,,16346.81,15831.75,42692.99,7649.82,8971.89,-16346.81,
2026-05,,,,9949.84,4170.97,9541.8,6235.91,12408.67,-9949.84,
2026-06,,,,3284.73,13260.93,-249.67,935.75,3293.98,-3284.73,
