section,subsection,account_code,line_item,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,TOTAL
Revenue,Kiosk,8110,Kiosk Sales,-0.0,-0.0,-0.0,32677.25,40626.65,36454.04,31715.93,27965.5,30648.94,32596.74,32323.97,27481.31,29359.35,31352.39,37319.1,43688.01,48469.5,44300.84,45705.74,50102.92,42431.84,796.2,544.0,110080.56,33418.89,34670.75,46842.55,1270.0,272.0,272.0,893386.97
Revenue,Retail,8000,Retail Sales – High VAT,-0.0,-0.0,-0.0,2462.73,4047.3,2715.35,3873.21,2856.75,6113.22,4171.1,3528.23,4695.15,-0.0,-0.0,8497.86,4487.42,4110.65,4509.91,5742.77,5777.82,3421.18,-0.0,-0.0,7939.25,651.69,402.2,154.93,-0.0,-0.0,-0.0,80158.72
Revenue,Retail,8010,Retail Sales – Low VAT,-0.0,-0.0,-0.0,2827.67,2253.51,2332.27,2347.59,2783.03,1493.88,3341.93,1286.93,3587.91,-0.0,-0.0,5464.01,2728.26,2677.62,2977.41,3515.34,2790.81,1828.44,-0.0,-0.0,10570.28,3087.2,2364.72,3383.67,-0.0,-0.0,-0.0,63642.48
Revenue,Retail,8100,Retail Sales – Product HV,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,215.0,581.5,4.5,-0.0,4.5,-0.0,-0.0,-0.0,805.5
Revenue,Retail,8140,Retail Sales – Zero Rate,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1000.0,-0.0,-0.0,-0.0,-0.0,-0.0,272.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1272.0
Revenue,Retail,8199,Retail Sales – Other,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,350.0,-0.0,-0.0,-0.0,350.0
Revenue,Export & EU,8160,Export (Outside EU),-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,243.4,177.35,30.5,41.95,4350.09,3118.5,2561.5,3656.95,5268.15,16207.5,-646.55,3724.45,-0.0,155.9,-0.0,-0.0,302.96,123.9,715.95,447.85,-0.0,-0.0,-0.0,40480.35
Revenue,Export & EU,8170,EU B2B Sales,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,110.0,1057.0,295.99,-0.0,-0.0,1976.0,592.0,-0.0,4030.99
Revenue,Export & EU,8260,Service Export / EU,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1860.0,1863.0,-0.0,279.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,240.0,692.0,-0.0,-0.0,-0.0,-0.0,4934.0
Revenue,Export & EU,8270,Other Export / EU,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,95.0,25.0,-0.0,120.0
Revenue,Services,8200,Services – High VAT,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4000.0,80.0,-0.0,-0.0,-0.0,336.36,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.5,-0.0,9.0,59.0,-0.0,4.5,4493.36
Revenue,Services,8210,Services – Low VAT,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,599.82,-0.0,380.76,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,980.58
Revenue,Q4 Adj.,,Revenue Reallocation (Q4),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53254.07,37629.86,-90883.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,— Total,,TOTAL REVENUE,0.0,0.0,0.0,37967.65,46927.46,41501.66,41936.73,33928.68,40293.39,42603.09,37181.08,41110.58,32477.85,33913.89,54937.92,56171.84,71465.27,52141.61,58688.3,58671.55,47837.36,54050.27,38498.86,39919.62,37826.67,38845.62,51192.5,3400.0,889.0,276.5,1094654.95
—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
