category,Currency,product_name,gtin,Ledger,ProductStatus,items_sold,Avg_ItemSales_Price,net_revenue_9pct,gross_revenue_9pct,net_revenue_21pct,gross_revenue_21pct,net_revenue_0pct,Total_Revenueexcl._VAT,Total_Revenueincl._VAT,Buying_price_excl._tax,total_cost,margin_eur,margin_pct,Markup,Revenue_%of_Category,Revenue_%of_Total,period,source_file,source,net_revenue_eur,gross_revenue_eur
Accessoires & Merch,EUR,Ceremonial Candle: Saint,4001003,788865,ARCHIVED,2,69.2,0.0,0.0,114.380166,138.4,0,114.380166,138.4,32.0,64.0,50.380166,0.440462,0.78719,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,114.38,138.4
Accessoires & Merch,EUR,The Therapy Journal,4001058,788865,ACTIVE,1,33.0,30.275229,33.0,0.0,0.0,0,30.275229,33.0,0.0,0.0,30.275229,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,30.28,33.0
Coffee,EUR,Cappuccino,4000013,788865,ACTIVE,14,4.375,56.192661,61.25,0.0,0.0,0,56.192661,61.25,0.0,0.0,56.192661,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,56.19,61.25
Coffee,EUR,Latte,4000020,788865,ACTIVE,7,4.828571,31.009173,33.8,0.0,0.0,0,31.009173,33.8,0.0,0.0,31.009173,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,31.01,33.8
Coffee,EUR,Espresso,4000037,788865,ACTIVE,5,3.5,16.055045,17.5,0.0,0.0,0,16.055045,17.5,0.0,0.0,16.055045,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,16.06,17.5
Coffee,EUR,Americano,4000044,788865,ACTIVE,2,4.075,7.477064,8.15,0.0,0.0,0,7.477064,8.15,0.0,0.0,7.477064,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,7.48,8.15
Coffee,EUR,Flat White,4000051,788865,ACTIVE,1,4.65,4.266055,4.65,0.0,0.0,0,4.266055,4.65,0.0,0.0,4.266055,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,4.27,4.65
Cosmetics,EUR,ТОСОВО - MINT COOLING LIP MASK,4000815,788865,DRAFT,6,20.3,0.0,0.0,100.661158,121.8,0,100.661158,121.8,0.0,0.0,100.661158,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,100.66,121.8
Cosmetics,EUR,Numbuzin - No.2 Rose PDRN Collagen Plumping Sheet Mask,4000853,788865,ACTIVE,4,28.0,0.0,0.0,92.561984,112.0,0,92.561984,112.0,0.0,0.0,92.561984,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,92.56,112.0
Cosmetics,EUR,ABIB - GEL MASK HEARTLEAF JELLY - SINGLE MASK,4000716,788865,ARCHIVED,19,4.99,0.0,0.0,78.355373,94.81,0,78.355373,94.81,2.06,39.14,39.215373,0.500481,1.001926,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,78.36,94.81
Cosmetics,EUR,BIODANCE - PORE PERFECTING COLLAGEN PEPTIDE SERUM,4000914,788865,ACTIVE,3,29.0,0.0,0.0,71.900826,87.0,0,71.900826,87.0,0.0,0.0,71.900826,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,71.9,87.0
Cosmetics,EUR,TOCOBO - JUICY BERRY PLUMPING LIP OIL GLAM HONEY LEMON,4000778,788865,DRAFT,5,17.0,0.0,0.0,70.247935,85.0,0,70.247935,85.0,0.0,0.0,70.247935,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,70.25,85.0
Cosmetics,EUR,Melixir - Vegan Lip Butter #02 Nudy Rose,4000969,788865,ACTIVE,5,17.0,0.0,0.0,70.247935,85.0,0,70.247935,85.0,0.0,0.0,70.247935,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,70.25,85.0
Cosmetics,EUR,VT - COSMETICS REEDLE SHOT 100,4000686,788865,ACTIVE,2,37.0,0.0,0.0,61.157024,74.0,0,61.157024,74.0,0.0,0.0,61.157024,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,61.16,74.0
Cosmetics,EUR,ABIB - SHEET HEARTLEAF FIT - SINGLE MASK,4000952,788865,ARCHIVED,14,4.918571,0.0,0.0,56.909092,68.86,0,56.909092,68.86,0.0,0.0,56.909092,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,56.91,68.86
Cosmetics,EUR,ABIB GEL MASK JERICHO ROSE JELLY - SINGLE MASK,4000730,788865,ACTIVE,12,4.99,0.0,0.0,49.487604,59.88,0,49.487604,59.88,2.06,24.72,24.767604,0.500481,1.001926,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,49.49,59.88
Cosmetics,EUR,POMELO+CO - Molecular Repair Leave-in Mask,4000822,788865,ACTIVE,3,18.5,0.0,0.0,45.867768,55.5,0,45.867768,55.5,0.0,0.0,45.867768,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,45.87,55.5
Cosmetics,EUR,TOCOBO BIFIDA BIOME ESSENCE 50ML,4000594,788865,ACTIVE,2,26.0,0.0,0.0,42.975206,52.0,0,42.975206,52.0,0.0,0.0,42.975206,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,42.98,52.0
Cosmetics,EUR,MEDICUBE - COLLAGEN LIFTING MASK,4000679,788865,DRAFT,9,4.99,0.0,0.0,37.115703,44.91,0,37.115703,44.91,0.0,0.0,37.115703,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,37.12,44.91
Cosmetics,EUR,ABIB ACNE FOAM CLEANSER HEARTLEAF FOAM,4000587,788865,ARCHIVED,2,19.0,0.0,0.0,31.404958,38.0,0,31.404958,38.0,0.0,0.0,31.404958,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,31.4,38.0
Cosmetics,EUR,MEDICUBE - KOJIC ACID TURMERIC BRIGHTENING GEL MASK,4000785,788865,ARCHIVED,5,7.5,0.0,0.0,30.991735,37.5,0,30.991735,37.5,0.0,0.0,30.991735,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,30.99,37.5
Cosmetics,EUR,POMELO+CO - Molecular Repair Shampoo,4000839,788865,ACTIVE,2,16.5,0.0,0.0,27.272728,33.0,0,27.272728,33.0,0.0,0.0,27.272728,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,27.27,33.0
Cosmetics,EUR,MEDICUBE - COLLAGEN GLOW BOOSTER SERUM 15ml,4000662,788865,DRAFT,1,32.0,0.0,0.0,26.446281,32.0,0,26.446281,32.0,0.0,0.0,26.446281,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,26.45,32.0
Cosmetics,EUR,VT - CICA COLLAGEN CREAM 30ML,4000631,788865,ACTIVE,1,31.0,0.0,0.0,25.619835,31.0,0,25.619835,31.0,0.0,0.0,25.619835,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,25.62,31.0
Cosmetics,EUR,Numbuzin - Bio Lifting Full Cover Facial Mask SINGLE,4000617,788865,ACTIVE,4,7.5,0.0,0.0,24.793388,30.0,0,24.793388,30.0,0.0,0.0,24.793388,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,24.79,30.0
Cosmetics,EUR,MEDICUBE - PDRN PINK COLLAGEN CAPSULE CREAM,4000877,788865,DRAFT,1,29.0,0.0,0.0,23.966942,29.0,0,23.966942,29.0,0.0,0.0,23.966942,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,23.97,29.0
Cosmetics,EUR,BIODANCE - Collagen Gel Toner Pads,4000655,788865,ACTIVE,1,28.0,0.0,0.0,23.140496,28.0,0,23.140496,28.0,0.0,0.0,23.140496,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,23.14,28.0
Cosmetics,EUR,ABIB - Quick Sunstick Protection Bar SPF50+,4000921,788865,ACTIVE,1,27.0,0.0,0.0,22.31405,27.0,0,22.31405,27.0,0.0,0.0,22.31405,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,22.31,27.0
Cosmetics,EUR,BEAUTY OF JOSEON - REVIVE EYE SERUM : GINSENG + RETINAL,4000938,788865,DRAFT,1,23.0,0.0,0.0,19.008264,23.0,0,19.008264,23.0,0.0,0.0,19.008264,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,19.01,23.0
Cosmetics,EUR,MEDICUBE - PDRN VITA COATING MASK - SINGLE,4000884,788865,DRAFT,3,7.5,0.0,0.0,18.595041,22.5,0,18.595041,22.5,0.0,0.0,18.595041,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,18.6,22.5
Cosmetics,EUR,ABIB GEL MASK JERICHO ROSE JELLY - MASK PACK,4000723,788865,ACTIVE,1,19.0,0.0,0.0,15.702479,19.0,0,15.702479,19.0,0.0,0.0,15.702479,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,15.7,19.0
Cosmetics,EUR,Melixir - Vegan Lip Butter 11. Autumn Rain,4000976,788865,ACTIVE,1,17.0,0.0,0.0,14.049587,17.0,0,14.049587,17.0,0.0,0.0,14.049587,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,14.05,17.0
Cosmetics,EUR,POMELO+CO - Molecular Repair Conditioner,4000846,788865,ACTIVE,1,16.5,0.0,0.0,13.636364,16.5,0,13.636364,16.5,0.0,0.0,13.636364,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,13.64,16.5
Food & Drinks,EUR,SONDER - Rwanda - Drip Bags,4000433,788865,ARCHIVED,7,16.0,102.752293,112.0,0.0,0.0,0,102.752293,112.0,0.0,0.0,102.752293,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,102.75,112.0
Food & Drinks,EUR,SONDER - Ethiopia - Drip Bags,4000402,788865,ARCHIVED,6,16.0,88.073394,96.0,0.0,0.0,0,88.073394,96.0,0.0,0.0,88.073394,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,88.07,96.0
Food & Drinks,EUR,SONDER - Brazil - Drip Bags,4000396,788865,ARCHIVED,5,13.0,59.63303,65.0,0.0,0.0,0,59.63303,65.0,0.0,0.0,59.63303,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,59.63,65.0
Food & Drinks,EUR,SONDER - Kenya - Drip Bags,4000419,788865,ARCHIVED,5,13.0,59.63303,65.0,0.0,0.0,0,59.63303,65.0,0.0,0.0,59.63303,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,59.63,65.0
Food & Drinks,EUR,Cosmic Dealer - Pistachio & Lion's Mane - Box of 4 Nut Butter Chocolates,4000310,788865,ARCHIVED,3,16.2,44.587155,48.6,0.0,0.0,0,44.587155,48.6,0.0,0.0,44.587155,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,44.59,48.6
Food & Drinks,EUR,Cosmic Dealer - Lavender & Macadamia  Box of 4 Nut Butter Chocolates,4001102,788865,ARCHIVED,3,16.2,44.587155,48.6,0.0,0.0,0,44.587155,48.6,0.0,0.0,44.587155,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,44.59,48.6
Food & Drinks,EUR,Cosmic Dealer Raspberry Single Nut Butter Chocolate,4000389,788865,DRAFT,12,3.9,42.935784,46.8,0.0,0.0,0,42.935784,46.8,0.0,0.0,42.935784,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,42.94,46.8
Food & Drinks,EUR,Goodio - Cozy Times Double Chocolate,4001065,788865,ARCHIVED,3,12.6,34.678899,37.8,0.0,0.0,0,34.678899,37.8,0.0,0.0,34.678899,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,34.68,37.8
Food & Drinks,EUR,Cosmic Dealer - Raspberry - Box of 4 Nut Butter Chocolates,4001119,788865,ARCHIVED,2,14.5,26.605504,29.0,0.0,0.0,0,26.605504,29.0,0.0,0.0,26.605504,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,26.61,29.0
Food & Drinks,EUR,De La Rosee Lavender Honey and Combava 40g,4000327,788865,ARCHIVED,5,4.2,19.266055,21.0,0.0,0.0,0,19.266055,21.0,0.0,0.0,19.266055,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,19.27,21.0
Food & Drinks,EUR,Goodio - Peppermint Crunch,4001096,788865,ARCHIVED,3,5.9,16.238532,17.7,0.0,0.0,0,16.238532,17.7,0.0,0.0,16.238532,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,16.24,17.7
Food & Drinks,EUR,The Mallows Caramel + Crunchy Toffee,4001140,788865,ARCHIVED,2,7.9,14.495412,15.8,0.0,0.0,0,14.495412,15.8,0.0,0.0,14.495412,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,14.5,15.8
Food & Drinks,EUR,Cosmic Dealer - Matcha Single Nut Butter Chocolate,4000372,788865,ACTIVE,4,3.9,14.311928,15.6,0.0,0.0,0,14.311928,15.6,0.0,0.0,14.311928,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,14.31,15.6
Food & Drinks,EUR,Cosmic Dealer Lavender Single Nut Butter Chocolate,4001331,788865,ACTIVE,3,4.2,11.559633,12.6,0.0,0.0,0,11.559633,12.6,0.0,0.0,11.559633,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,11.56,12.6
Food & Drinks,EUR,Goodio - Gingerbread Chocolate,4001089,788865,ARCHIVED,2,5.9,10.825688,11.8,0.0,0.0,0,10.825688,11.8,0.0,0.0,10.825688,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,10.83,11.8
Food & Drinks,EUR,Lavoratti 1938 - Hazelnut Milk Chocolate Bar,4001126,788865,ARCHIVED,1,9.5,8.715596,9.5,0.0,0.0,0,8.715596,9.5,0.0,0.0,8.715596,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,8.72,9.5
Food & Drinks,EUR,The Mallows Caramel + Double Caramel Chocolate,4001157,788865,ARCHIVED,1,8.9,8.165138,8.9,0.0,0.0,0,8.165138,8.9,0.0,0.0,8.165138,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,8.17,8.9
Food & Drinks,EUR,Cosmic Dealer - Black Sesame Single Nut Butter Chocolate,4000365,788865,DRAFT,1,3.9,3.577982,3.9,0.0,0.0,0,3.577982,3.9,0.0,0.0,3.577982,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,3.58,3.9
Matcha,EUR,Matcha Latte - small,4000068,788865,ACTIVE,15,5.26,72.385322,78.9,0.0,0.0,0,72.385322,78.9,0.0,0.0,72.385322,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,72.39,78.9
Matcha,EUR,Iced Blue Coconut Matcha,4000297,788865,ACTIVE,9,7.5,61.926606,67.5,0.0,0.0,0,61.926606,67.5,0.0,0.0,61.926606,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,61.93,67.5
Matcha,EUR,Iced Strawberry Matcha Latte,4000136,788865,ACTIVE,8,6.9,50.6422,55.2,0.0,0.0,0,50.6422,55.2,0.0,0.0,50.6422,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,50.64,55.2
Matcha,EUR,Iced Matcha latte,4000082,788865,ACTIVE,8,6.39375,46.926609,51.15,0.0,0.0,0,46.926609,51.15,0.0,0.0,46.926609,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,46.93,51.15
Matcha,EUR,Matcha Latte - large,4000075,788865,ACTIVE,8,6.175,45.3211,49.4,0.0,0.0,0,45.3211,49.4,0.0,0.0,45.3211,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,45.32,49.4
Matcha,EUR,Brown Sugar Spice Pecan Matcha - Hot,4000273,788865,ACTIVE,3,6.95,19.12844,20.85,0.0,0.0,0,19.12844,20.85,0.0,0.0,19.12844,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,19.13,20.85
Matcha,EUR,Iced Mango&Passion Fruit Matcha Latte,4000259,788865,ACTIVE,3,6.9,18.990825,20.7,0.0,0.0,0,18.990825,20.7,0.0,0.0,18.990825,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,18.99,20.7
Matcha,EUR,Honey Lavender Matcha - Hot,4000198,788865,ACTIVE,3,6.5,17.889909,19.5,0.0,0.0,0,17.889909,19.5,0.0,0.0,17.889909,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,17.89,19.5
Matcha,EUR,Pure Matcha Tea (Usucha),4000112,788865,ACTIVE,2,5.075,9.311927,10.15,0.0,0.0,0,9.311927,10.15,0.0,0.0,9.311927,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,9.31,10.15
Matcha,EUR,Iced Black Sesame Matcha Latte,4000228,788865,ACTIVE,1,7.5,6.880734,7.5,0.0,0.0,0,6.880734,7.5,0.0,0.0,6.880734,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,6.88,7.5
Matcha,EUR,Iced Pure Matcha,4000143,788865,ACTIVE,1,5.25,4.816514,5.25,0.0,0.0,0,4.816514,5.25,0.0,0.0,4.816514,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,4.82,5.25
Matcha Powder,EUR,"LERA Matcha, Kyushu Island",4000129,788865,ACTIVE,74,41.886486,2843.669718,3099.6,0.0,0.0,0,2843.669718,3099.6,0.0,0.0,2843.669718,0.0,,,,2026-01 to 2026-03,ProductReport_2026-01-01_2026-03-31__generated_at_2026-06-24_15.12.csv,Tebi,2843.67,3099.6
