"Month","Billing country","Orders","Gross sales","Discounts","Returns","Net sales","Shipping charges","Taxes","Total sales"
"2024-07-01","Netherlands",4,149,0,-1,148,9.9,0,157.9
"2024-07-01","United Kingdom",1,37,-37,0,0,0,0,0
"2024-08-01","Belgium",1,74,0,0,74,9.95,0,83.95
"2024-08-01","United States",2,222,-18.5,0,203.5,39.9,0,243.4
"2024-08-01","Netherlands",4,222,0,0,222,14.85,0,236.85
"2024-09-01","Austria",1,37,0,0,37,9.95,0,46.95
"2024-09-01","Netherlands",4,185,0,0,185,14.85,0,199.85
"2024-09-01","Germany",16,747.5,0,0,747.5,159.2,0,906.7
"2024-09-01","United States",3,117.5,0,0,117.5,59.85,0,177.35
"2024-10-01","Spain",1,37,0,0,37,9.95,0,46.95
"2024-10-01","Portugal",2,185,-111,0,74,9.95,0,83.95
"2024-10-01","United States",3,132,0,-101.5,30.5,39.9,0,70.4
"2024-10-01","Belgium",1,37,0,0,37,9.95,0,46.95
"2024-10-01","Netherlands",5,222,0,0,222,19.8,0,241.8
"2024-11-01","Netherlands",14,740,-9.25,0,730.75,24.75,0,755.5
"2024-11-01","Belgium",1,53.5,0,0,53.5,9.95,0,63.45
"2024-11-01","France",2,92.5,0,0,92.5,19.9,0,112.4
"2024-11-01","Singapore",1,37,0,0,37,4.95,0,41.95
"2024-11-01","Germany",5,201.5,-27.75,0,173.75,39.8,0,213.55
"2024-11-01","Spain",1,27.75,0,-27.75,0,0,0,0
"2024-11-01","Slovenia",1,37,0,0,37,9.95,0,46.95
"2024-12-01","United Kingdom",1,37,0,0,37,19.95,0,56.95
"2024-12-01","Netherlands",7,629,0,-43.95,585.05,19.8,0,604.85
"2024-12-01","Germany",3,148,0,0,148,29.85,0,177.85
"2025-01-01","Netherlands",2,121,0,-79,42,4.95,0,46.95
"2025-01-01","United States",1,37,0,0,37,19.95,0,56.95
"2025-01-01","Germany",4,205,-42,0,163,29.85,0,192.85
"2025-02-01","Germany",1,37,0,0,37,9.95,0,46.95
"2025-02-01","Netherlands",3,153,0,0,153,9.9,0,162.9
"2025-02-01","Slovakia",1,37,0,0,37,9.95,0,46.95
"2025-02-01","Belgium",1,79,0,0,79,9.95,0,88.95
"2025-03-01","Belgium",1,79,0,0,79,9.95,0,88.95
"2025-03-01","Germany",1,37,0,0,37,9.95,0,46.95
"2025-03-01","Netherlands",10,469,0,0,469,39.6,0,508.6
"2025-04-01","Netherlands",3,153,0,0,153,9.9,0,162.9
"2025-04-01","Germany",1,74,0,0,74,9.95,0,83.95
"2025-05-01","Spain",1,74,0,0,74,9.95,0,83.95
"2025-05-01","Germany",2,84,0,0,84,19.9,0,103.9
"2025-05-01","Canada",1,79,-79,0,0,0,0,0
"2025-05-01","Belgium",1,79,0,0,79,9.95,0,88.95
"2025-05-01","Netherlands",4,195,0,0,195,14.85,0,209.85
"2025-06-01","Germany",3,126,0,-42,84,19.9,0,103.9
"2025-06-01","Luxembourg",1,42,0,0,42,9.95,0,51.95
"2025-06-01","Spain",0,0,0,-74,-74,0,0,-74
"2025-06-01","Netherlands",1,42,0,0,42,4.95,0,46.95
"2025-06-01","Austria",1,84,0,0,84,9.95,0,93.95
"2025-06-01","Australia",1,42,0,0,42,19.95,0,61.95
"2025-07-01","Netherlands",4,210,0,0,210,14.85,0,224.85
"2025-07-01","Germany",1,42,0,0,42,9.95,0,51.95
"2025-07-01","United States",1,42,0,0,42,19.95,0,61.95
"2025-08-01","Netherlands",7,368,-42,0,326,24.75,0,350.75
"2025-08-01","Austria",1,42,0,0,42,9.95,0,51.95
"2025-08-01","Portugal",1,42,0,0,42,9.95,0,51.95
"2025-08-01","Germany",3,121,0,0,121,39.85,0,160.85
"2025-08-01","Belgium",1,42,0,0,42,9.95,0,51.95
"2025-09-01","Portugal",1,51,0,0,51,9.95,0,60.95
"2025-09-01","United States",2,116,0,0,116,39.9,0,155.9
"2025-09-01","Netherlands",7,380,0,0,380,24.75,0,404.75
"2025-09-01","Germany",5,195,0,0,195,49.75,0,244.75
"2025-09-01","Italy",2,116,0,0,116,19.9,0,135.9
"2025-09-01","Belgium",1,42,0,0,42,9.95,0,51.95
"2025-10-01","Netherlands",11,683,0,0,683,19.8,0,702.8
"2025-10-01","United States",0,0,0,-116,-116,-39.9,0,-155.9
"2025-10-01","United Kingdom",1,37,0,0,37,19.95,0,56.95
"2025-11-01","France",1,37,0,0,37,9.95,0,46.95
"2025-11-01","Netherlands",6,405,-21,-148,236,9.9,0,245.9
"2025-11-01","Italy",1,210,0,0,210,9.95,0,219.95
"2025-11-01","Germany",2,88,0,0,88,19.9,0,107.9
"2025-11-01","Bulgaria",1,156,0,0,156,19.95,0,175.95
"2025-11-01","Saudi Arabia",1,259,0,0,259,19.95,0,278.95
"2025-11-01","Belgium",1,42,0,0,42,9.95,0,51.95
"2025-11-01","United States",1,168,-84,0,84,19.95,0,103.95
"2025-11-01","United Kingdom",1,147,-36.75,0,110.25,19.95,0,130.2
"2025-11-01","Czech Republic",1,42,-10.5,0,31.5,4.95,0,36.45
"2025-12-01","Saudi Arabia",0,0,0,-148,-148,0,0,-148
"2025-12-01","Austria",1,42,-10.5,0,31.5,9.95,0,41.45
"2025-12-01","Spain",1,84,0,0,84,19.95,0,103.95
"2025-12-01","Netherlands",7,422,-188,-42,192,4.95,0,196.95
"2025-12-01","Lithuania",1,42,-10.5,0,31.5,9.95,0,41.45
"2025-12-01","Germany",7,350,-29,0,321,69.65,0,390.65
"2026-01-01","Netherlands",9,545.65,0,0,545.65,23.52,18.58,587.75
"2026-01-01","Belgium",1,57.85,0,0,57.85,8.22,13.88,79.95
"2026-01-01","Poland",1,42,0,0,42,9.95,0,51.95
"2026-01-01","Brazil",1,38.53,0,0,38.53,18.3,5.12,61.95
"2026-01-01","Bulgaria",1,12,0,0,12,4.95,0,16.95
